,Make,Model,Vehicle_Class,Engine_Size_L_,Cylinders,Transmission,Fuel_Type,Fuel_Consumption_City__L_100_km_,Fuel_Consumption_Hwy__L_100_km_,Fuel_Consumption_Comb__L_100_km_,Fuel_Consumption_Comb__mpg_,CO2_Emissions_g_km_,Engine Size Range
25,LINCOLN,NAVIGATOR 4X4 FFV,SUV - STANDARD,5.4,8,A6,E,24.5,18.0,21.6,13,346,4-6
26,LAMBORGHINI,Aventador Roadster,TWO-SEATER,6.5,12,AM7,Z,26.6,15.8,21.7,13,493,6-8
28,FORD,EXPEDITION 4X4 FFV,SUV - STANDARD,5.4,8,A6,E,24.5,18.0,21.6,13,346,4-6
29,GMC,YUKON DENALI XL AWD,SUV - STANDARD,6.2,8,A6,E,25.7,17.8,22.1,13,354,6-8
30,GMC,SAVANA 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,E,23.7,18.8,21.5,13,344,4-6
31,GMC,SAVANA 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,E,23.9,18.5,21.5,13,344,4-6
32,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,E,23.7,18.8,21.5,13,344,4-6
33,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,E,23.9,18.5,21.5,13,344,4-6
34,GMC,SAVANA 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,E,23.9,18.5,21.5,13,344,4-6
35,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,E,23.9,18.5,21.5,13,344,4-6
36,LAND ROVER,RANGE ROVER SUPERCHARGED,SUV - STANDARD,5.0,8,AS8,E,25.0,16.9,21.4,13,342,4-6
37,LAND ROVER,RANGE ROVER V8 5.0 SC FFV,SUV - STANDARD,5.0,8,AS8,E,25.0,16.9,21.4,13,342,4-6
38,LAND ROVER,RANGE ROVER SUPERCHARGED LWB,SUV - STANDARD,5.0,8,AS8,E,25.0,16.9,21.4,13,342,4-6
39,LAND ROVER,RANGE ROVER LWB V8 5.0 SC FFV,SUV - STANDARD,5.0,8,AS8,E,25.0,16.9,21.4,13,342,4-6
40,MERCEDES-BENZ,AMG G 65,SUV - STANDARD,6.0,12,AS7,Z,22.2,18.0,20.3,14,467,6-8
41,MERCEDES-BENZ,AMG G 65,SUV - STANDARD,6.0,12,A7,Z,22.2,18.0,20.3,14,473,6-8
42,BENTLEY,Mulsanne,MID-SIZE,6.8,8,AS8,Z,24.5,14.4,20.0,14,465,6-8
43,FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8,A6,E,22.1,16.7,19.7,14,315,4-6
44,FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8,AS6,E,22.1,16.7,19.7,14,315,4-6
45,GMC,Sierra FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,22.2,16.2,19.5,14,326,4-6
46,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,E,23.3,16.1,20.1,14,322,6-8
47,FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,A6,E,22.4,17.0,20.0,14,320,4-6
48,FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,AS6,E,22.4,16.9,19.9,14,318,4-6
49,CHEVROLET,Silverado FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,22.2,16.2,19.5,14,326,4-6
50,GMC,Sierra 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,21.8,16.8,19.5,14,325,4-6
51,FORD,T-150 WAGON FFV,VAN - PASSENGER,3.7,6,AS6,E,22.1,16.7,19.7,14,315,2-4
52,FORD,T-150 WAGON FFV,VAN - PASSENGER,3.7,6,AS6,E,23.0,18.5,20.9,14,343,2-4
53,GMC,YUKON DENALI AWD,SUV - STANDARD,6.2,8,A6,E,23.3,16.1,20.1,14,322,6-8
54,GMC,SAVANA 1500 CARGO,VAN - CARGO,5.3,8,A4,E,23.5,17.7,20.9,14,334,4-6
55,CHEVROLET,Silverado 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,22.3,18.1,20.5,14,342,4-6
56,LAMBORGHINI,AVENTADOR ROADSTER,TWO-SEATER,6.5,12,AM7,Z,24.0,14.5,19.7,14,453,6-8
57,LAMBORGHINI,AVENTADOR ROADSTER,TWO-SEATER,6.5,12,AM7,Z,24.2,14.5,19.8,14,464,6-8
58,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,E,23.5,17.7,20.9,14,334,4-6
59,FORD,T-150 Wagon FFV 4WD,VAN - PASSENGER,3.5,6,AS10,E,22.1,16.8,19.8,14,328,2-4
60,LAMBORGHINI,AVENTADOR S ROADSTER,TWO-SEATER,6.5,12,AM7,Z,24.2,14.5,19.8,14,464,6-8
61,GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,23.0,16.0,19.8,14,465,6-8
62,LAMBORGHINI,AVENTADOR COUPE LP 740,TWO-SEATER,6.5,12,AM7,Z,23.9,14.5,19.7,14,461,6-8
63,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,23.0,16.0,19.8,14,465,6-8
64,LAMBORGHINI,AVENTADOR ROADSTER LP 740,TWO-SEATER,6.5,12,AM7,Z,23.9,14.5,19.7,14,461,6-8
65,FORD,F-150 FFV 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS6,E,22.2,16.5,19.6,14,326,4-6
66,FORD,F-150 FFV 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS10,E,21.4,17.2,19.5,14,325,4-6
67,FORD,F-150 FFV 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS10,E,21.3,17.2,19.5,14,323,4-6
68,LAND ROVER,RANGE ROVER SPORT SUPERCHARGED,SUV - STANDARD,5.0,8,AS8,E,24.0,16.6,20.7,14,331,4-6
69,LAND ROVER,RANGE ROVER SPORT V8 5.0 SC FFV,SUV - STANDARD,5.0,8,AS8,E,24.0,16.6,20.7,14,331,4-6
70,CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,4-6
71,GMC,YUKON,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,4-6
72,MERCEDES-BENZ,AMG G 63,SUV - STANDARD,5.5,8,AS7,Z,20.0,16.6,18.5,15,417,4-6
73,MERCEDES-BENZ,AMG G 63,SUV - STANDARD,5.5,8,AS7,Z,20.0,16.6,18.5,15,413,4-6
74,MERCEDES-BENZ,G 63 AMG,SUV - STANDARD,5.5,8,AS7,Z,20.0,16.6,18.5,15,426,4-6
75,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,14.9,19.0,15,437,6-8
76,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,4-6
77,GMC,YUKON XL,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,4-6
78,CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,4-6
79,GMC,YUKON 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,4-6
80,GMC,Sierra FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,21.1,15.0,18.4,15,306,4-6
81,BENTLEY,MULSANNE EWB,MID-SIZE,6.8,8,AS8,Z,22.2,13.6,18.3,15,430,6-8
82,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,4-6
83,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,E,22.1,15.4,19.1,15,306,4-6
84,GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,4-6
85,GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8,A6,E,22.1,15.4,19.1,15,306,4-6
86,FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,AS6,E,21.7,15.1,18.7,15,299,4-6
87,FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,AS6,E,21.6,15.1,18.7,15,306,4-6
88,FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,AS6,E,21.5,15.1,18.6,15,305,4-6
89,CHEVROLET,Silverado FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,21.1,15.0,18.4,15,306,4-6
90,CHEVROLET,Tahoe 4WD FFV,SUV - STANDARD,5.3,8,A6,E,21.7,14.3,18.4,15,305,4-6
92,ASTON MARTIN,V12 VANTAGE S,TWO-SEATER,6.0,12,M7,Z,23.2,14.4,19.2,15,450,6-8
93,GMC,Yukon 4WD FFV,SUV - STANDARD,5.3,8,A6,E,21.7,14.3,18.4,15,305,4-6
95,FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,8,A4,X,20.6,15.5,18.3,15,421,4-6
96,GMC,SIERRA 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,21.0,15.0,18.3,15,309,4-6
97,GMC,Sierra 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,22.0,16.1,19.4,15,323,4-6
98,LAMBORGHINI,AVENTADOR COUPE,TWO-SEATER,6.5,12,A7,Z,22.8,12.9,18.3,15,421,6-8
99,LAMBORGHINI,AVENTADOR COUPE,TWO-SEATER,6.5,12,AM7,Z,23.8,14.1,19.4,15,454,6-8
100,FORD,T-150 Wagon FFV,VAN - PASSENGER,3.5,6,AS10,E,21.5,16.2,19.1,15,316,2-4
101,LAMBORGHINI,VENENO ROADSTER,TWO-SEATER,6.5,12,AM7,Z,22.1,13.9,18.4,15,423,6-8
102,CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8,A6,E,22.2,15.3,19.1,15,317,4-6
103,CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8,A6,E,22.1,15.4,19.1,15,317,4-6
104,CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8,A6,E,22.3,15.7,19.3,15,321,4-6
105,CHEVROLET,Suburban 4WD FFV,SUV - STANDARD,5.3,8,A6,E,22.2,15.2,19.0,15,317,4-6
106,CHEVROLET,Suburban 4WD FFV,SUV - STANDARD,5.3,8,A6,E,22.2,15.3,19.1,15,319,4-6
107,GMC,YUKON XL 4WD FFV,SUV - STANDARD,5.3,8,A6,E,22.2,15.3,19.1,15,317,4-6
108,GMC,YUKON XL 4WD FFV,SUV - STANDARD,5.3,8,A6,E,22.1,15.4,19.1,15,317,4-6
109,GMC,YUKON XL 4WD FFV,SUV - STANDARD,5.3,8,A6,E,22.3,15.7,19.3,15,321,4-6
110,GMC,Yukon XL 4WD FFV,SUV - STANDARD,5.3,8,A6,E,22.2,15.2,19.0,15,317,4-6
111,GMC,Yukon XL 4WD FFV,SUV - STANDARD,5.3,8,A6,E,22.2,15.3,19.1,15,319,4-6
112,LAMBORGHINI,AVENTADOR S COUPE,TWO-SEATER,6.5,12,AM7,Z,23.8,14.1,19.4,15,454,6-8
113,CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,21.0,15.0,18.3,15,309,4-6
114,CHEVROLET,Silverado 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,22.0,16.1,19.3,15,322,4-6
115,LAMBORGHINI,AVENTADOR ROADSTER,TWO-SEATER,6.5,12,AM7,Z,23.6,14.1,19.3,15,452,6-8
116,LAMBORGHINI,AVENTADOR ROADSTER,TWO-SEATER,6.5,12,AM7,Z,23.0,13.5,18.7,15,438,6-8
117,GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,21.9,15.0,18.8,15,432,6-8
118,GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.0,14.9,18.8,15,432,6-8
119,GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.0,14.9,18.8,15,441,6-8
120,GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,21.8,14.8,18.6,15,438,6-8
121,GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.1,15.0,18.9,15,435,6-8
122,GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.2,15.1,19.0,15,437,6-8
123,GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.3,14.9,19.0,15,445,6-8
124,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,21.9,15.0,18.8,15,432,6-8
125,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.0,14.9,18.8,15,432,6-8
126,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.0,14.9,18.8,15,441,6-8
127,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,21.8,14.8,18.6,15,438,6-8
128,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.1,15.0,18.9,15,435,6-8
129,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.2,15.1,19.0,15,437,6-8
130,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.3,14.9,19.0,15,445,6-8
131,GMC,SAVANA 2500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,X,22.0,14.9,18.8,15,432,6-8
132,GMC,SAVANA 3500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,X,22.2,15.1,19.0,15,437,6-8
133,CHEVROLET,EXPRESS 2500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,X,22.0,14.9,18.8,15,432,6-8
134,CHEVROLET,EXPRESS 3500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,X,22.2,15.1,19.0,15,437,6-8
135,FORD,F-150 FFV 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS6,E,21.5,15.1,18.6,15,306,4-6
136,FORD,F-150 FFV 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS6,E,21.8,15.3,18.8,15,310,4-6
137,FORD,GT,TWO-SEATER,3.5,6,AM7,Z,20.6,13.2,17.3,16,406,2-4
138,AUDI,R8,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407,4-6
139,AUDI,R8,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409,4-6
140,JAGUAR,XFR,MID-SIZE,5.0,8,AS8,E,21.3,14.1,18.1,16,290,4-6
142,MERCEDES-BENZ,G 550,SUV - STANDARD,5.5,8,AS7,Z,20.0,15.9,18.2,16,419,4-6
143,MERCEDES-BENZ,G 550,SUV - STANDARD,5.5,8,AS7,Z,19.9,16.1,18.2,16,419,4-6
144,MERCEDES-BENZ,G 550,SUV - STANDARD,5.5,8,AS7,Z,19.0,16.5,17.9,16,401,4-6
145,MERCEDES-BENZ,G 550,SUV - STANDARD,4.0,8,AS7,Z,19.0,16.6,17.9,16,401,4-6
146,MERCEDES-BENZ,G 550,SUV - STANDARD,4.0,8,A7,Z,18.2,16.5,17.5,16,410,4-6
147,CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,E,20.2,13.6,17.2,16,275,4-6
148,GMC,YUKON,SUV - STANDARD,5.3,8,A6,E,20.2,13.6,17.2,16,275,4-6
149,GMC,SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9,13.8,17.2,16,275,4-6
150,ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12,AS8,Z,20.9,12.7,17.2,16,396,6-8
151,ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12,AS8,Z,20.9,12.7,17.2,16,403,6-8
152,MERCEDES-BENZ,AMG G 63,SUV - STANDARD,5.5,8,A7,Z,19.9,15.5,17.9,16,419,4-6
153,BENTLEY,Bentayga,SUV - STANDARD,6.0,12,AS8,Z,20.0,13.8,17.2,16,401,6-8
154,MERCEDES-BENZ,G 63 AMG,SUV - STANDARD,5.5,8,AS7,Z,19.4,15.7,17.7,16,407,4-6
155,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,13.3,18.2,16,419,6-8
156,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,21.0,13.1,17.5,16,408,6-8
157,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,21.3,12.8,17.5,16,407,6-8
158,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,20.9,13.0,17.3,16,405,6-8
159,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,E,20.2,13.6,17.2,16,275,4-6
160,GMC,YUKON XL,SUV - STANDARD,5.3,8,A6,E,20.2,13.6,17.2,16,275,4-6
161,FORD,F-150 4X4,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,20.1,14.4,17.5,16,402,6-8
162,FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8,AS6,E,20.7,14.3,17.9,16,286,4-6
163,FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8,AS6,E,20.6,14.3,17.8,16,292,4-6
164,FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8,AS6,E,20.5,14.3,17.7,16,291,4-6
165,FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8,AS10,E,20.2,14.0,17.4,16,288,4-6
166,FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8,AS10,E,20.3,14.0,17.4,16,290,4-6
167,FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8,AS10,E,20.0,14.8,17.6,16,293,4-6
168,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407,4-6
169,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409,4-6
170,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9,13.8,17.2,16,275,4-6
171,CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,E,20.5,14.0,17.6,16,282,4-6
172,CHEVROLET,TAHOE FFV,SUV - STANDARD,5.3,8,A6,E,20.5,14.0,17.6,16,288,4-6
173,CHEVROLET,TAHOE FFV,SUV - STANDARD,5.3,8,A6,E,19.8,13.9,17.2,16,285,4-6
174,NISSAN,TITAN 4WD,PICKUP TRUCK - STANDARD,5.6,8,A5,X,19.7,14.3,17.3,16,398,4-6
175,NISSAN,TITAN 4WD,PICKUP TRUCK - STANDARD,5.6,8,A5,X,19.7,14.3,17.2,16,396,4-6
176,CHEVROLET,Tahoe FFV,SUV - STANDARD,5.3,8,A6,E,21.2,13.9,17.9,16,298,4-6
178,GMC,YUKON 4WD,SUV - STANDARD,5.3,8,A6,E,20.5,14.0,17.6,16,282,4-6
179,GMC,YUKON FFV,SUV - STANDARD,5.3,8,A6,E,20.5,14.0,17.6,16,288,4-6
180,GMC,YUKON FFV,SUV - STANDARD,5.3,8,A6,E,19.8,13.9,17.2,16,285,4-6
181,GMC,Yukon FFV,SUV - STANDARD,5.3,8,A6,E,21.2,13.9,17.9,16,298,4-6
183,GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20.0,15.1,17.8,16,285,4-6
184,GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9,14.2,17.3,16,277,4-6
185,GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20.3,15.2,18.0,16,288,4-6
186,GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,20.2,14.3,17.5,16,280,4-6
187,GMC,SIERRA FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9,14.0,17.2,16,286,4-6
188,ROLLS-ROYCE,PHANTOM EWB,FULL-SIZE,6.7,12,AS8,Z,20.7,12.9,17.2,16,396,6-8
189,ROLLS-ROYCE,PHANTOM EWB,FULL-SIZE,6.7,12,AS8,Z,20.7,12.9,17.2,16,404,6-8
190,RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,E,20.5,14.5,17.8,16,285,2-4
192,RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,E,20.5,14.5,17.8,16,296,2-4
193,RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,E,20.7,14.7,18.0,16,300,2-4
195,FORD,E150 VAN FFV,VAN - CARGO,5.4,8,A4,X,19.3,14.7,17.2,16,396,4-6
196,CHEVROLET,SUBURBAN FFV,SUV - STANDARD,5.3,8,A6,E,20.5,14.0,17.6,16,288,4-6
197,CHEVROLET,SUBURBAN FFV,SUV - STANDARD,5.3,8,A6,E,19.8,13.9,17.2,16,285,4-6
198,CHEVROLET,Suburban FFV,SUV - STANDARD,5.3,8,A6,E,21.2,13.9,17.9,16,298,4-6
200,GMC,YUKON XL FFV,SUV - STANDARD,5.3,8,A6,E,20.5,14.0,17.6,16,288,4-6
201,GMC,YUKON XL FFV,SUV - STANDARD,5.3,8,A6,E,19.8,13.9,17.2,16,285,4-6
202,GMC,Yukon XL FFV,SUV - STANDARD,5.3,8,A6,E,21.2,13.9,17.9,16,298,4-6
204,FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,A6,E,20.2,15.3,18.0,16,288,2-4
205,FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,AS6,E,20.2,15.3,18.0,16,288,2-4
206,FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,AS10,E,20.0,15.6,18.0,16,300,4-6
208,FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,AS10,E,20.3,14.7,17.8,16,296,4-6
209,ROLLS-ROYCE,PHANTOM COUPE,COMPACT,6.7,12,AS8,Z,20.9,12.7,17.2,16,396,6-8
210,ROLLS-ROYCE,PHANTOM COUPE,COMPACT,6.7,12,AS8,Z,20.9,12.7,17.2,16,403,6-8
211,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20.0,15.1,17.8,16,285,4-6
212,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9,14.2,17.3,16,277,4-6
213,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20.3,15.2,18.0,16,288,4-6
214,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,20.2,14.3,17.5,16,280,4-6
215,CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9,14.0,17.2,16,286,4-6
216,CHEVROLET,TAHOE 4WD FFV,SUV - STANDARD,5.3,8,A6,E,20.9,14.5,18.0,16,300,4-6
217,CHEVROLET,TAHOE 4WD FFV,SUV - STANDARD,5.3,8,A6,E,20.8,14.5,18.0,16,299,4-6
219,GMC,YUKON 4WD FFV,SUV - STANDARD,5.3,8,A6,E,20.9,14.5,18.0,16,300,4-6
220,GMC,YUKON 4WD FFV,SUV - STANDARD,5.3,8,A6,E,20.8,14.5,18.0,16,299,4-6
222,LAMBORGHINI,GALLARDO COUPE,TWO-SEATER,5.2,10,M6,Z,20.6,13.5,17.4,16,400,4-6
223,GMC,SIERRA 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20.3,15.3,18.1,16,301,4-6
224,GMC,SIERRA 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,20.5,14.4,17.8,16,295,4-6
225,GMC,SIERRA 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20.3,15.2,18.0,16,294,4-6
226,GMC,SIERRA 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,20.7,14.4,17.9,16,317,4-6
227,GMC,SIERRA 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20.2,15.2,18.0,16,296,4-6
